 CONF#         G (xTB)          ΔG (xTB)          E (DFT)          ΔGsolv         GmRRHO          Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]          [Eh]             [Eh]           [Eh]           [Eh]           [kcal/mol]        % at 298.15 K     
 CONF1        -43.391655          ---           -687.079989       -0.028521        ---         -687.108510          2.72                0.12         
 CONF2        -43.391222          ---           -687.080445       -0.030889        ---         -687.111334          0.95                2.49         
 CONF3        -43.391169          ---           -687.080892       -0.030072        ---         -687.110964          1.18                1.68         
 CONF4        -43.391103          ---           -687.079103       -0.028596        ---         -687.107699          3.23                0.05         
 CONF5        -43.391094          ---           -687.080087       -0.030690        ---         -687.110777          1.30                1.38         
 CONF6        -43.390336          ---           -687.079761       -0.030965        ---         -687.110726          1.33                1.31         
 CONF7        -43.389675          ---           -687.076589       -0.032569        ---         -687.109158          2.32                0.25         
 CONF9        -43.389400          ---           -687.075288       -0.030914        ---         -687.106202          4.17                0.01         
CONF12        -43.389103          ---           -687.075555       -0.032779        ---         -687.108334          2.83                0.10         
CONF14        -43.389069          ---           -687.076586       -0.034877        ---         -687.111463          0.87                2.85         
CONF16        -43.388817          ---           -687.076625       -0.032198        ---         -687.108823          2.53                0.17         
CONF20        -43.388669          ---           -687.076467       -0.033742        ---         -687.110209          1.66                0.76         
CONF23        -43.388498          ---           -687.076334       -0.034886        ---         -687.111220          1.02                2.21         
CONF24        -43.388415          ---           -687.075810       -0.032418        ---         -687.108228          2.90                0.09         
CONF27        -43.388186          ---           -687.075901       -0.033045        ---         -687.108946          2.45                0.20         
CONF28        -43.388185          ---           -687.075370       -0.036737        ---         -687.112107          0.47                5.64         
CONF29        -43.388104          ---           -687.076879       -0.034010        ---         -687.110889          1.23                1.55         
CONF30        -43.388090          ---           -687.076187       -0.035001        ---         -687.111187          1.04                2.13         
CONF32        -43.388063          ---           -687.075477       -0.032475        ---         -687.107952          3.07                0.07         
CONF33        -43.387971          ---           -687.075151       -0.032396        ---         -687.107547          3.33                0.05         
CONF38        -43.387864          ---           -687.077921       -0.030694        ---         -687.108615          2.66                0.14         
CONF39        -43.387834          ---           -687.076006       -0.032235        ---         -687.108241          2.89                0.09         
CONF44        -43.387743          ---           -687.075724       -0.034746        ---         -687.110469          1.49                1.00         
CONF45        -43.387731          ---           -687.077707       -0.035143        ---         -687.112850          0.00               12.39         
CONF46        -43.387730          ---           -687.075784       -0.032569        ---         -687.108353          2.82                0.11         
CONF49        -43.387643          ---           -687.077763       -0.030698        ---         -687.108460          2.75                0.12         
CONF51        -43.387560          ---           -687.075343       -0.034896        ---         -687.110240          1.64                0.78         
CONF53        -43.387540          ---           -687.075817       -0.034058        ---         -687.109875          1.87                0.53         
CONF55        -43.387515          ---           -687.074896       -0.032746        ---         -687.107642          3.27                0.05         
CONF59        -43.387414          ---           -687.077341       -0.034220        ---         -687.111561          0.81                3.16         
CONF65        -43.387246          ---           -687.073781       -0.036743        ---         -687.110524          1.46                1.06         
CONF68        -43.387163          ---           -687.075531       -0.036596        ---         -687.112127          0.45                5.76         
CONF73        -43.387092          ---           -687.075587       -0.034900        ---         -687.110486          1.48                1.01         
CONF74        -43.387152          ---           -687.075778       -0.034938        ---         -687.110715          1.34                1.29         
CONF75        -43.387069          ---           -687.074448       -0.034396        ---         -687.108844          2.51                0.18         
CONF79        -43.386974          ---           -687.075397       -0.037215        ---         -687.112612          0.15                9.63         
CONF81        -43.386947          ---           -687.074415       -0.034567        ---         -687.108982          2.43                0.21         
CONF86        -43.386823          ---           -687.076238       -0.036199        ---         -687.112437          0.26                8.01         
CONF88        -43.386814          ---           -687.075827       -0.035444        ---         -687.111271          0.99                2.33         
CONF90        -43.386731          ---           -687.073613       -0.034693        ---         -687.108305          2.85                0.10         
CONF93        -43.386697          ---           -687.075741       -0.036564        ---         -687.112305          0.34                6.96         
CONF95        -43.386679          ---           -687.074677       -0.036909        ---         -687.111586          0.79                3.25         
CONF96        -43.386662          ---           -687.074911       -0.035839        ---         -687.110749          1.32                1.34         
CONF98        -43.386626          ---           -687.073907       -0.033843        ---         -687.107751          3.20                0.06         
CONF108       -43.386523          ---           -687.073571       -0.037259        ---         -687.110830          1.27                1.46         
CONF114       -43.386419          ---           -687.073664       -0.033964        ---         -687.107628          3.28                0.05         
CONF115       -43.386415          ---           -687.076342       -0.035300        ---         -687.111642          0.76                3.45         
CONF121       -43.386341          ---           -687.073961       -0.032260        ---         -687.106222          4.16                0.01         
CONF122       -43.386337          ---           -687.073389       -0.034010        ---         -687.107399          3.42                0.04         
CONF141       -43.386088          ---           -687.072728       -0.034132        ---         -687.106860          3.76                0.02         
CONF147       -43.386037          ---           -687.075246       -0.031598        ---         -687.106844          3.77                0.02         
CONF162       -43.385904          ---           -687.074367       -0.036537        ---         -687.110904          1.22                1.58         
CONF163       -43.385847          ---           -687.075525       -0.036055        ---         -687.111580          0.80                3.23         
CONF166       -43.385822          ---           -687.075038       -0.036562        ---         -687.111600          0.78                3.30         
CONF240       -43.384872          ---           -687.074435       -0.037386        ---         -687.111821          0.65                4.17         
CONF326       -43.384248          ---           -687.072157       -0.033309        ---         -687.105466          4.63                0.00         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15        -687.0762137    -687.1117743     <<==part1==
----------------------------------------------------------------------------------------------------

